nm	Orig	F5	F7	F9
439.6	9.908	0.73441	0.12915	0.01208
439.5	9.32173	0.67153	0.12689	0.0068
439.4	8.86947	0.63129	0.12387	0.01057
439.3	8.52608	0.61872	0.11858	0.01057
439.2	8.14081	0.56842	0.11178	0.01057
439.1	7.57967	0.53572	0.09592	0.01133
439	7.2949	0.48039	0.09517	0.00906
438.9	6.99339	0.44266	0.0929	0.00906
438.8	6.56625	0.41499	0.08233	0.00982
438.7	6.29824	0.40242	0.07251	0.01133
438.6	5.86273	0.3496	0.06042	0.01133
438.5	5.64497	0.34457	0.05816	0.0136
438.4	5.32671	0.2993	0.05514	0.01057
438.3	5.03357	0.28924	0.05665	0.00906
438.2	4.81581	0.23391	0.04532	0.01057
438.1	4.52267	0.28924	0.03625	0.00831
438	4.31329	0.20121	0.0355	0.00906
437.9	4.10391	0.19115	0.03776	0.02039
437.8	3.75214	0.1836	0.03323	0.0136
437.7	3.59301	0.166	0.02946	0.01133
437.6	3.45063	0.16348	0.02266	0.00604
437.5	3.27475	0.11821	0.0219	0.01435
437.4	2.97324	0.11066	0.02115	0.01133
437.3	2.85598	0.10815	0.02417	0.01133
437.2	2.73873	0.10312	0.02341	0.00755
437.1	2.58797	0.08551	0.03248	0.00982
437	2.42047	0.06288	0.02492	0.01133
436.9	2.26971	0.07042	0.02946	0.01888
436.8	2.13571	0.07042	0.04305	0.02946
436.7	2.11896	0.07545	0.06798	0.05211
436.6	1.85932	0.08803	0.10423	0.0861
436.5	1.71694	0.10815	0.13746	0.12991
436.4	1.8342	0.14336	0.18505	0.16843
436.3	1.66669	0.17103	0.23716	0.21979
436.2	1.57456	0.20875	0.28248	0.27266
436.1	1.51593	0.30433	0.34139	0.31496
436	1.41543	0.30684	0.39426	0.36934
435.9	1.54106	0.36972	0.45468	0.42447
435.8	1.31493	0.36721	0.50604	0.47961
435.7	1.2563	0.42254	0.5219	0.53097
435.6	1.19767	0.49045	0.5997	0.58384
435.5	1.11392	0.53572	0.63822	0.62462
435.4	1.07204	0.55081	0.65332	0.65332
435.3	1.12229	0.58602	0.65635	0.64048
435.2	0.97154	0.54075	0.65257	0.67447
435.1	0.84591	0.53823	0.62311	0.63595
435	0.77053	0.47536	0.58535	0.59743
